pin_id,article_slug,pin_variant,image_generated,image_reviewed,text_overlay_added,text_legible_mobile,topic_match_checked,no_ai_artifacts,image_uploaded_to_public_pins,ready_for_api
brick-front-walkway-landscaping-ideas-a,brick-front-walkway-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
brick-front-walkway-landscaping-ideas-b,brick-front-walkway-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-a,budget-front-yard-curb-appeal-for-renters,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-b,budget-front-yard-curb-appeal-for-renters,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-c,budget-front-yard-curb-appeal-for-renters,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-a,budget-front-yard-flower-bed-makeover,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-b,budget-front-yard-flower-bed-makeover,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-c,budget-front-yard-flower-bed-makeover,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-a,budget-front-yard-ideas-with-cheap-border-plants,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-b,budget-front-yard-ideas-with-cheap-border-plants,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-c,budget-front-yard-ideas-with-cheap-border-plants,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-a,budget-front-yard-ideas-with-divided-perennials,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-b,budget-front-yard-ideas-with-divided-perennials,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-c,budget-front-yard-ideas-with-divided-perennials,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-diy-mailbox-bed-a,budget-front-yard-ideas-with-diy-mailbox-bed,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-diy-stepping-stones-a,budget-front-yard-ideas-with-diy-stepping-stones,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-diy-stepping-stones-b,budget-front-yard-ideas-with-diy-stepping-stones,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-diy-stepping-stones-c,budget-front-yard-ideas-with-diy-stepping-stones,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-mulch-and-pots-a,budget-front-yard-ideas-with-mulch-and-pots,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-mulch-and-pots-b,budget-front-yard-ideas-with-mulch-and-pots,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-focal-planter-a,budget-front-yard-ideas-with-one-focal-planter,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-focal-planter-b,budget-front-yard-ideas-with-one-focal-planter,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-focal-planter-c,budget-front-yard-ideas-with-one-focal-planter,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-weekend-makeover-a,budget-front-yard-ideas-with-one-weekend-makeover,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-weekend-makeover-b,budget-front-yard-ideas-with-one-weekend-makeover,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-one-weekend-makeover-c,budget-front-yard-ideas-with-one-weekend-makeover,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-painted-planters-a,budget-front-yard-ideas-with-painted-planters,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-painted-planters-b,budget-front-yard-ideas-with-painted-planters,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-painted-planters-c,budget-front-yard-ideas-with-painted-planters,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reseeded-lawn-edges-a,budget-front-yard-ideas-with-reseeded-lawn-edges,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reseeded-lawn-edges-b,budget-front-yard-ideas-with-reseeded-lawn-edges,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reseeded-lawn-edges-c,budget-front-yard-ideas-with-reseeded-lawn-edges,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reused-brick-a,budget-front-yard-ideas-with-reused-brick,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reused-brick-b,budget-front-yard-ideas-with-reused-brick,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-reused-brick-c,budget-front-yard-ideas-with-reused-brick,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-secondhand-stone-a,budget-front-yard-ideas-with-secondhand-stone,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-secondhand-stone-b,budget-front-yard-ideas-with-secondhand-stone,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-seed-grown-flowers-a,budget-front-yard-ideas-with-seed-grown-flowers,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-seed-grown-flowers-b,budget-front-yard-ideas-with-seed-grown-flowers,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-seed-grown-flowers-c,budget-front-yard-ideas-with-seed-grown-flowers,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-simple-stone-rings-a,budget-front-yard-ideas-with-simple-stone-rings,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-simple-wood-edging-a,budget-front-yard-ideas-with-simple-wood-edging,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-simple-wood-edging-b,budget-front-yard-ideas-with-simple-wood-edging,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-simple-wood-edging-c,budget-front-yard-ideas-with-simple-wood-edging,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-small-evergreens-a,budget-front-yard-ideas-with-small-evergreens,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-small-evergreens-b,budget-front-yard-ideas-with-small-evergreens,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-solar-path-lights-a,budget-front-yard-ideas-with-solar-path-lights,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-lawn-refresh-ideas-a,budget-front-yard-lawn-refresh-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-lawn-refresh-ideas-b,budget-front-yard-lawn-refresh-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-lawn-refresh-ideas-c,budget-front-yard-lawn-refresh-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-lighting-ideas-a,budget-front-yard-lighting-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-mulch-makeover-ideas-a,budget-front-yard-mulch-makeover-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-mulch-makeover-ideas-b,budget-front-yard-mulch-makeover-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-planter-and-container-ideas-a,budget-front-yard-planter-and-container-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-planter-and-container-ideas-b,budget-front-yard-planter-and-container-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-planter-and-container-ideas-c,budget-front-yard-planter-and-container-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-plants-that-look-expensive-a,budget-front-yard-plants-that-look-expensive,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-plants-that-look-expensive-b,budget-front-yard-plants-that-look-expensive,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-plants-that-look-expensive-c,budget-front-yard-plants-that-look-expensive,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-porch-planter-ideas-a,budget-front-yard-porch-planter-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-porch-planter-ideas-b,budget-front-yard-porch-planter-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-porch-planter-ideas-c,budget-front-yard-porch-planter-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-starter-landscaping-plan-a,budget-front-yard-starter-landscaping-plan,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-starter-landscaping-plan-b,budget-front-yard-starter-landscaping-plan,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-starter-landscaping-plan-c,budget-front-yard-starter-landscaping-plan,C,yes,yes,yes,yes,yes,yes,yes,yes
cheap-front-yard-curb-appeal-weekend-projects-a,cheap-front-yard-curb-appeal-weekend-projects,A,yes,yes,yes,yes,yes,yes,yes,yes
cheap-front-yard-curb-appeal-weekend-projects-b,cheap-front-yard-curb-appeal-weekend-projects,B,yes,yes,yes,yes,yes,yes,yes,yes
cheap-front-yard-curb-appeal-weekend-projects-c,cheap-front-yard-curb-appeal-weekend-projects,C,yes,yes,yes,yes,yes,yes,yes,yes
cheap-front-yard-rock-landscaping-ideas-a,cheap-front-yard-rock-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-black-houses-a,curb-appeal-landscaping-for-black-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-black-houses-b,curb-appeal-landscaping-for-black-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-black-houses-c,curb-appeal-landscaping-for-black-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-blue-houses-a,curb-appeal-landscaping-for-blue-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-blue-houses-b,curb-appeal-landscaping-for-blue-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-blue-houses-c,curb-appeal-landscaping-for-blue-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-colonial-homes-a,curb-appeal-landscaping-for-colonial-homes,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-colonial-homes-b,curb-appeal-landscaping-for-colonial-homes,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-colonial-homes-c,curb-appeal-landscaping-for-colonial-homes,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-craftsman-bungalows-a,curb-appeal-landscaping-for-craftsman-bungalows,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-craftsman-bungalows-b,curb-appeal-landscaping-for-craftsman-bungalows,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-craftsman-bungalows-c,curb-appeal-landscaping-for-craftsman-bungalows,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-farmhouse-exteriors-a,curb-appeal-landscaping-for-farmhouse-exteriors,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-farmhouse-exteriors-b,curb-appeal-landscaping-for-farmhouse-exteriors,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-farmhouse-exteriors-c,curb-appeal-landscaping-for-farmhouse-exteriors,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-gray-houses-a,curb-appeal-landscaping-for-gray-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-gray-houses-b,curb-appeal-landscaping-for-gray-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-gray-houses-c,curb-appeal-landscaping-for-gray-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-small-ranch-houses-a,curb-appeal-landscaping-for-small-ranch-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-small-ranch-houses-b,curb-appeal-landscaping-for-small-ranch-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-stone-houses-a,curb-appeal-landscaping-for-stone-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-white-farmhouses-a,curb-appeal-landscaping-for-white-farmhouses,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-white-farmhouses-b,curb-appeal-landscaping-for-white-farmhouses,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-for-white-farmhouses-c,curb-appeal-landscaping-for-white-farmhouses,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-ideas-that-look-expensive-a,curb-appeal-landscaping-ideas-that-look-expensive,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-ideas-that-look-expensive-b,curb-appeal-landscaping-ideas-that-look-expensive,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-ideas-that-look-expensive-c,curb-appeal-landscaping-ideas-that-look-expensive,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-a-statement-tree-a,curb-appeal-landscaping-with-a-statement-tree,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-a-statement-tree-b,curb-appeal-landscaping-with-a-statement-tree,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-a-statement-tree-c,curb-appeal-landscaping-with-a-statement-tree,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-foundation-beds-a,curb-appeal-landscaping-with-clean-foundation-beds,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-foundation-beds-b,curb-appeal-landscaping-with-clean-foundation-beds,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-foundation-beds-c,curb-appeal-landscaping-with-clean-foundation-beds,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-lawn-stripes-a,curb-appeal-landscaping-with-clean-lawn-stripes,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-lawn-stripes-b,curb-appeal-landscaping-with-clean-lawn-stripes,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-clean-lawn-stripes-c,curb-appeal-landscaping-with-clean-lawn-stripes,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-driveway-entry-pillars-a,curb-appeal-landscaping-with-driveway-entry-pillars,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-driveway-entry-pillars-b,curb-appeal-landscaping-with-driveway-entry-pillars,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-step-planters-a,curb-appeal-landscaping-with-front-step-planters,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-step-planters-b,curb-appeal-landscaping-with-front-step-planters,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-step-planters-c,curb-appeal-landscaping-with-front-step-planters,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-berms-a,curb-appeal-landscaping-with-front-yard-berms,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-berms-b,curb-appeal-landscaping-with-front-yard-berms,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-berms-c,curb-appeal-landscaping-with-front-yard-berms,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-focal-points-a,curb-appeal-landscaping-with-front-yard-focal-points,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-focal-points-b,curb-appeal-landscaping-with-front-yard-focal-points,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-focal-points-c,curb-appeal-landscaping-with-front-yard-focal-points,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-trees-a,curb-appeal-landscaping-with-front-yard-trees,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-trees-b,curb-appeal-landscaping-with-front-yard-trees,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-front-yard-trees-c,curb-appeal-landscaping-with-front-yard-trees,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-layered-porch-planters-a,curb-appeal-landscaping-with-layered-porch-planters,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-layered-porch-planters-b,curb-appeal-landscaping-with-layered-porch-planters,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-layered-porch-planters-c,curb-appeal-landscaping-with-layered-porch-planters,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-outdoor-lighting-a,curb-appeal-landscaping-with-outdoor-lighting,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-seasonal-containers-a,curb-appeal-landscaping-with-seasonal-containers,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-seasonal-containers-b,curb-appeal-landscaping-with-seasonal-containers,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-seasonal-containers-c,curb-appeal-landscaping-with-seasonal-containers,C,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-stone-pillars-a,curb-appeal-landscaping-with-stone-pillars,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-symmetrical-planters-a,curb-appeal-landscaping-with-symmetrical-planters,A,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-symmetrical-planters-b,curb-appeal-landscaping-with-symmetrical-planters,B,yes,yes,yes,yes,yes,yes,yes,yes
curb-appeal-landscaping-with-symmetrical-planters-c,curb-appeal-landscaping-with-symmetrical-planters,C,yes,yes,yes,yes,yes,yes,yes,yes
curved-front-walkway-landscaping-ideas-a,curved-front-walkway-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
curved-front-walkway-landscaping-ideas-b,curved-front-walkway-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
drought-tolerant-front-yard-landscaping-ideas-a,drought-tolerant-front-yard-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
drought-tolerant-front-yard-landscaping-ideas-b,drought-tolerant-front-yard-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
flagstone-front-walkway-ideas-a,flagstone-front-walkway-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
flagstone-front-walkway-ideas-b,flagstone-front-walkway-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-walkway-border-plants-that-stay-neat-a,front-walkway-border-plants-that-stay-neat,A,yes,yes,yes,yes,yes,yes,yes,yes
front-walkway-border-plants-that-stay-neat-b,front-walkway-border-plants-that-stay-neat,B,yes,yes,yes,yes,yes,yes,yes,yes
front-walkway-flower-bed-ideas-a,front-walkway-flower-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
